#Distance_(Ang)    @O_=>_@S1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.000000
       2.525000     0.000000
       2.575000     0.000000
       2.625000     0.000000
       2.675000     0.000000
       2.725000     0.000000
       2.775000     0.000000
       2.825000     0.037707
       2.875000     0.260719
       2.925000     0.979729
       2.975000     2.091569
       3.025000     3.242952
       3.075000     4.064866
       3.125000     4.280760
       3.175000     3.861960
       3.225000     3.098206
       3.275000     2.422378
       3.325000     1.857932
       3.375000     1.329885
       3.425000     1.064600
       3.475000     0.863362
       3.525000     0.726546
       3.575000     0.648641
       3.625000     0.646015
       3.675000     0.638619
       3.725000     0.643977
       3.775000     0.640996
       3.825000     0.683067
       3.875000     0.692059
       3.925000     0.739126
       3.975000     0.826627
       4.025000     0.847861
       4.075000     0.857289
       4.125000     0.911652
       4.175000     0.921691
       4.225000     1.000339
       4.275000     1.029927
       4.325000     1.093436
       4.375000     1.113723
       4.425000     1.161326
       4.475000     1.230530
       4.525000     1.227903
       4.575000     1.301852
       4.625000     1.307665
       4.675000     1.345135
       4.725000     1.360298
       4.775000     1.396248
       4.825000     1.435010
       4.875000     1.464135
       4.925000     1.482383
       4.975000     1.520000
       5.025000     1.497591
       5.075000     1.468227
       5.125000     1.459307
       5.175000     1.432332
       5.225000     1.448075
       5.275000     1.404182
       5.325000     1.361504
       5.375000     1.328396
       5.425000     1.318040
       5.475000     1.314640
       5.525000     1.257404
       5.575000     1.256658
       5.625000     1.244695
       5.675000     1.252247
       5.725000     1.188264
       5.775000     1.160064
       5.825000     1.158258
       5.875000     1.166892
       5.925000     1.172030
       5.975000     1.119867
       6.025000     1.110449
       6.075000     1.121837
       6.125000     1.146291
       6.175000     1.119147
       6.225000     1.154725
       6.275000     1.151928
       6.325000     1.165211
       6.375000     1.159426
       6.425000     1.187071
       6.475000     1.209791
       6.525000     1.198503
       6.575000     1.172261
       6.625000     1.167572
       6.675000     1.189471
       6.725000     1.156718
       6.775000     1.151551
       6.825000     1.122757
       6.875000     1.098886
       6.925000     1.065464
       6.975000     1.054135
       7.025000     1.041543
       7.075000     1.011747
       7.125000     0.985837
       7.175000     0.953854
       7.225000     0.940047
       7.275000     0.904059
       7.325000     0.894563
       7.375000     0.838570
       7.425000     0.820095
       7.475000     0.811332
       7.525000     0.791757
       7.575000     0.775503
       7.625000     0.753678
       7.675000     0.720407
       7.725000     0.713958
       7.775000     0.690352
       7.825000     0.673631
       7.875000     0.628867
       7.925000     0.619566
       7.975000     0.605335
