#Distance_(Ang)    @O_=>_@S1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.000000
       2.525000     0.000000
       2.575000     0.000000
       2.625000     0.000000
       2.675000     0.000000
       2.725000     0.000000
       2.775000     0.010715
       2.825000     0.076630
       2.875000     0.348799
       2.925000     1.131198
       2.975000     2.324088
       3.025000     3.416928
       3.075000     4.051520
       3.125000     4.096369
       3.175000     3.464738
       3.225000     2.848072
       3.275000     2.247250
       3.325000     1.747738
       3.375000     1.335850
       3.425000     1.069979
       3.475000     0.785386
       3.525000     0.694125
       3.575000     0.620918
       3.625000     0.575097
       3.675000     0.594774
       3.725000     0.574717
       3.775000     0.661091
       3.825000     0.722213
       3.875000     0.761879
       3.925000     0.802453
       3.975000     0.809425
       4.025000     0.842469
       4.075000     0.899671
       4.125000     0.959859
       4.175000     0.958169
       4.225000     1.001154
       4.275000     1.081450
       4.325000     1.088765
       4.375000     1.154296
       4.425000     1.186610
       4.475000     1.183510
       4.525000     1.254452
       4.575000     1.303243
       4.625000     1.301766
       4.675000     1.406429
       4.725000     1.430085
       4.775000     1.448828
       4.825000     1.431049
       4.875000     1.480474
       4.925000     1.481183
       4.975000     1.460385
       5.025000     1.450881
       5.075000     1.468793
       5.125000     1.428262
       5.175000     1.406052
       5.225000     1.406828
       5.275000     1.367377
       5.325000     1.381873
       5.375000     1.354436
       5.425000     1.327606
       5.475000     1.341681
       5.525000     1.348831
       5.575000     1.318968
       5.625000     1.306975
       5.675000     1.269428
       5.725000     1.261272
       5.775000     1.229048
       5.825000     1.190158
       5.875000     1.189673
       5.925000     1.174380
       5.975000     1.181591
       6.025000     1.163131
       6.075000     1.129991
       6.125000     1.144480
       6.175000     1.133404
       6.225000     1.190047
       6.275000     1.191250
       6.325000     1.176980
       6.375000     1.187372
       6.425000     1.167906
       6.475000     1.164525
       6.525000     1.151420
       6.575000     1.129709
       6.625000     1.120241
       6.675000     1.108641
       6.725000     1.097368
       6.775000     1.079433
       6.825000     1.066489
       6.875000     1.058221
       6.925000     1.035303
       6.975000     1.026200
       7.025000     0.999252
       7.075000     0.981009
       7.125000     0.973216
       7.175000     0.942069
       7.225000     0.937257
       7.275000     0.912221
       7.325000     0.855032
       7.375000     0.826166
       7.425000     0.823528
       7.475000     0.807336
       7.525000     0.786186
       7.575000     0.765437
       7.625000     0.765533
       7.675000     0.740430
       7.725000     0.713308
       7.775000     0.688265
       7.825000     0.660393
       7.875000     0.637320
       7.925000     0.616629
       7.975000     0.584272
