#Distance_(Ang)    @O_=>_@S1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.000000
       2.525000     0.000000
       2.575000     0.000000
       2.625000     0.000000
       2.675000     0.000000
       2.725000     0.000000
       2.775000     0.000000
       2.825000     0.000000
       2.875000     0.001762
       2.925000     0.055595
       2.975000     0.295035
       3.025000     0.908069
       3.075000     1.734973
       3.125000     2.775809
       3.175000     3.418035
       3.225000     3.596607
       3.275000     3.372233
       3.325000     2.958994
       3.375000     2.540033
       3.425000     2.072516
       3.475000     1.627847
       3.525000     1.315986
       3.575000     1.124109
       3.625000     1.000603
       3.675000     0.893060
       3.725000     0.773752
       3.775000     0.768037
       3.825000     0.791548
       3.875000     0.797759
       3.925000     0.831438
       3.975000     0.890521
       4.025000     0.933846
       4.075000     0.923346
       4.125000     0.924489
       4.175000     0.988800
       4.225000     1.046562
       4.275000     1.051704
       4.325000     1.056330
       4.375000     1.148717
       4.425000     1.170993
       4.475000     1.203384
       4.525000     1.227666
       4.575000     1.207703
       4.625000     1.287471
       4.675000     1.318041
       4.725000     1.362690
       4.775000     1.369213
       4.825000     1.444184
       4.875000     1.507841
       4.925000     1.492589
       4.975000     1.481368
       5.025000     1.442616
       5.075000     1.466154
       5.125000     1.425305
       5.175000     1.384666
       5.225000     1.322735
       5.275000     1.317664
       5.325000     1.246476
       5.375000     1.257834
       5.425000     1.282912
       5.475000     1.251491
       5.525000     1.208272
       5.575000     1.235420
       5.625000     1.211100
       5.675000     1.178851
       5.725000     1.207071
       5.775000     1.165449
       5.825000     1.162836
       5.875000     1.153111
       5.925000     1.137188
       5.975000     1.122314
       6.025000     1.152969
       6.075000     1.125256
       6.125000     1.142668
       6.175000     1.156953
       6.225000     1.158733
       6.275000     1.186319
       6.325000     1.194572
       6.375000     1.251984
       6.425000     1.225284
       6.475000     1.234797
       6.525000     1.204659
       6.575000     1.192919
       6.625000     1.220653
       6.675000     1.203415
       6.725000     1.201471
       6.775000     1.202096
       6.825000     1.144743
       6.875000     1.120965
       6.925000     1.100889
       6.975000     1.084962
       7.025000     1.039969
       7.075000     1.016983
       7.125000     0.986984
       7.175000     0.965922
       7.225000     0.917080
       7.275000     0.912313
       7.325000     0.882080
       7.375000     0.878281
       7.425000     0.850116
       7.475000     0.836610
       7.525000     0.793814
       7.575000     0.761123
       7.625000     0.746749
       7.675000     0.726916
       7.725000     0.702490
       7.775000     0.681119
       7.825000     0.652863
       7.875000     0.619945
       7.925000     0.588344
       7.975000     0.561301
