#Distance_(Ang)    @O_=>_@S1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.000000
       2.525000     0.000000
       2.575000     0.000000
       2.625000     0.000000
       2.675000     0.000000
       2.725000     0.000000
       2.775000     0.001891
       2.825000     0.012772
       2.875000     0.075749
       2.925000     0.447600
       2.975000     1.283787
       3.025000     2.340718
       3.075000     3.336999
       3.125000     3.839911
       3.175000     3.799849
       3.225000     3.338540
       3.275000     2.732812
       3.325000     2.154710
       3.375000     1.722757
       3.425000     1.336440
       3.475000     1.056694
       3.525000     0.887089
       3.575000     0.720037
       3.625000     0.722104
       3.675000     0.691807
       3.725000     0.669163
       3.775000     0.706389
       3.825000     0.720222
       3.875000     0.737636
       3.925000     0.739126
       3.975000     0.756589
       4.025000     0.818800
       4.075000     0.880087
       4.125000     0.944171
       4.175000     0.998824
       4.225000     1.036502
       4.275000     1.069764
       4.325000     1.122756
       4.375000     1.160382
       4.425000     1.228750
       4.475000     1.307363
       4.525000     1.384353
       4.575000     1.421741
       4.625000     1.433145
       4.675000     1.433079
       4.725000     1.436390
       4.775000     1.409872
       4.825000     1.441056
       4.875000     1.446776
       4.925000     1.466375
       4.975000     1.456855
       5.025000     1.467797
       5.075000     1.417911
       5.125000     1.390934
       5.175000     1.329207
       5.225000     1.322913
       5.275000     1.323769
       5.325000     1.304675
       5.375000     1.336796
       5.425000     1.261802
       5.475000     1.268169
       5.525000     1.223536
       5.575000     1.192318
       5.625000     1.208492
       5.675000     1.183975
       5.725000     1.182488
       5.775000     1.174181
       5.825000     1.168558
       5.875000     1.155502
       5.925000     1.132073
       5.975000     1.116468
       6.025000     1.113124
       6.075000     1.120127
       6.125000     1.139693
       6.175000     1.129203
       6.225000     1.136939
       6.275000     1.138738
       6.325000     1.150409
       6.375000     1.176504
       6.425000     1.199181
       6.475000     1.183743
       6.525000     1.175361
       6.575000     1.196063
       6.625000     1.212691
       6.675000     1.186203
       6.725000     1.193851
       6.775000     1.164134
       6.825000     1.117547
       6.875000     1.104945
       6.925000     1.083986
       6.975000     1.085362
       7.025000     1.058853
       7.075000     1.046364
       7.125000     1.018440
       7.175000     0.979405
       7.225000     0.978169
       7.275000     0.945511
       7.325000     0.902162
       7.375000     0.875871
       7.425000     0.870102
       7.475000     0.868490
       7.525000     0.816015
       7.575000     0.786246
       7.625000     0.757519
       7.675000     0.747928
       7.725000     0.733072
       7.775000     0.679031
       7.825000     0.671729
       7.875000     0.624484
       7.925000     0.611220
       7.975000     0.601901
