#Distance_(Ang)    @O_=>_@S1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.000000
       2.525000     0.000000
       2.575000     0.000000
       2.625000     0.000000
       2.675000     0.000000
       2.725000     0.000000
       2.775000     0.000630
       2.825000     0.003041
       2.875000     0.022314
       2.925000     0.154873
       2.975000     0.630103
       3.025000     1.506907
       3.075000     2.593733
       3.125000     3.433355
       3.175000     3.772886
       3.225000     3.557407
       3.275000     3.194389
       3.325000     2.595925
       3.375000     2.055121
       3.425000     1.640138
       3.475000     1.294239
       3.525000     1.069507
       3.575000     0.905363
       3.625000     0.816661
       3.675000     0.760808
       3.725000     0.781098
       3.775000     0.756797
       3.825000     0.797187
       3.875000     0.819092
       3.925000     0.794576
       3.975000     0.826934
       4.025000     0.848760
       4.075000     0.935038
       4.125000     0.929623
       4.175000     0.937564
       4.225000     0.981033
       4.275000     1.019303
       4.325000     1.012479
       4.375000     1.050835
       4.425000     1.105305
       4.475000     1.171633
       4.525000     1.171959
       4.575000     1.245270
       4.625000     1.268864
       4.675000     1.314488
       4.725000     1.342471
       4.775000     1.421368
       4.825000     1.483379
       4.875000     1.465361
       4.925000     1.473579
       4.975000     1.471170
       5.025000     1.449920
       5.075000     1.464835
       5.125000     1.457459
       5.175000     1.381947
       5.225000     1.389405
       5.275000     1.384297
       5.325000     1.352432
       5.375000     1.350236
       5.425000     1.317875
       5.475000     1.269788
       5.525000     1.234189
       5.575000     1.253066
       5.625000     1.255893
       5.675000     1.253905
       5.725000     1.221436
       5.775000     1.232540
       5.825000     1.235075
       5.875000     1.220892
       5.925000     1.179357
       5.975000     1.176153
       6.025000     1.186530
       6.075000     1.144721
       6.125000     1.168285
       6.175000     1.154407
       6.225000     1.150090
       6.275000     1.164748
       6.325000     1.171763
       6.375000     1.171488
       6.425000     1.202238
       6.475000     1.166262
       6.525000     1.150394
       6.575000     1.157890
       6.625000     1.156845
       6.675000     1.137836
       6.725000     1.124306
       6.775000     1.083875
       6.825000     1.074825
       6.875000     1.094779
       6.925000     1.058076
       6.975000     1.043759
       7.025000     0.999940
       7.075000     0.989251
       7.125000     0.940709
       7.175000     0.961679
       7.225000     0.941627
       7.275000     0.928820
       7.325000     0.897820
       7.375000     0.873551
       7.425000     0.831100
       7.475000     0.825752
       7.525000     0.797157
       7.575000     0.772965
       7.625000     0.770375
       7.675000     0.750317
       7.725000     0.722010
       7.775000     0.708980
       7.825000     0.684967
       7.875000     0.651095
       7.925000     0.627062
       7.975000     0.609608
