#Distance_(Ang)    @O_=>_@S1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.000000
       2.525000     0.000000
       2.575000     0.002928
       2.625000     0.092273
       2.675000     0.560268
       2.725000     1.896174
       2.775000     3.830251
       2.825000     4.988847
       2.875000     5.257826
       2.925000     4.681366
       2.975000     3.647359
       3.025000     2.709355
       3.075000     1.860732
       3.125000     1.208732
       3.175000     0.865222
       3.225000     0.676668
       3.275000     0.489182
       3.325000     0.389411
       3.375000     0.387333
       3.425000     0.314456
       3.475000     0.321952
       3.525000     0.345305
       3.575000     0.391919
       3.625000     0.465766
       3.675000     0.495945
       3.725000     0.510704
       3.775000     0.552442
       3.825000     0.661171
       3.875000     0.746686
       3.925000     0.795206
       3.975000     0.813725
       4.025000     0.923659
       4.075000     0.968359
       4.125000     1.034309
       4.175000     1.055351
       4.225000     1.153693
       4.275000     1.189807
       4.325000     1.239521
       4.375000     1.309994
       4.425000     1.282044
       4.475000     1.344446
       4.525000     1.339789
       4.575000     1.400175
       4.625000     1.359173
       4.675000     1.402210
       4.725000     1.408997
       4.775000     1.459685
       4.825000     1.482545
       4.875000     1.473326
       4.925000     1.464374
       4.975000     1.469994
       5.025000     1.480676
       5.075000     1.444671
       5.125000     1.417174
       5.175000     1.398621
       5.225000     1.378204
       5.275000     1.413253
       5.325000     1.363216
       5.375000     1.360820
       5.425000     1.362239
       5.475000     1.292457
       5.525000     1.299858
       5.575000     1.274148
       5.625000     1.263103
       5.675000     1.227983
       5.725000     1.224546
       5.775000     1.217114
       5.825000     1.207753
       5.875000     1.170689
       5.925000     1.154885
       5.975000     1.152768
       6.025000     1.157782
       6.075000     1.150639
       6.125000     1.164274
       6.175000     1.138241
       6.225000     1.147961
       6.275000     1.126412
       6.325000     1.132210
       6.375000     1.180923
       6.425000     1.172138
       6.475000     1.190689
       6.525000     1.169091
       6.575000     1.149694
       6.625000     1.124554
       6.675000     1.146333
       6.725000     1.135360
       6.775000     1.134103
       6.825000     1.105147
       6.875000     1.080916
       6.925000     1.077306
       6.975000     1.004551
       7.025000     0.989318
       7.075000     0.974609
       7.125000     0.940804
       7.175000     0.922929
       7.225000     0.879051
       7.275000     0.889111
       7.325000     0.870591
       7.375000     0.838748
       7.425000     0.832508
       7.475000     0.820192
       7.525000     0.795357
       7.575000     0.763491
       7.625000     0.750673
       7.675000     0.729965
       7.725000     0.723556
       7.775000     0.682805
       7.825000     0.669589
       7.875000     0.656965
       7.925000     0.624280
       7.975000     0.596406
