#Distance_(Ang)    @O_=>_@O1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.007744
       2.425000     0.056124
       2.475000     0.311389
       2.525000     0.751374
       2.575000     1.275134
       2.625000     1.708110
       2.675000     1.916170
       2.725000     1.912515
       2.775000     1.746524
       2.825000     1.696804
       2.875000     1.443348
       2.925000     1.465905
       2.975000     1.432950
       3.025000     1.322322
       3.075000     1.332028
       3.125000     1.275828
       3.175000     1.249925
       3.225000     1.272136
       3.275000     1.183811
       3.325000     1.143647
       3.375000     1.115978
       3.425000     1.119630
       3.475000     1.118190
       3.525000     1.062867
       3.575000     1.019673
       3.625000     1.022395
       3.675000     1.002312
       3.725000     1.025256
       3.775000     1.071505
       3.825000     1.058604
       3.875000     1.023057
       3.925000     1.033390
       3.975000     1.076366
       4.025000     1.066568
       4.075000     1.106028
       4.125000     1.109044
       4.175000     1.110764
       4.225000     1.068587
       4.275000     1.119162
       4.325000     1.092138
       4.375000     1.123866
       4.425000     1.114476
       4.475000     1.129945
       4.525000     1.168878
       4.575000     1.178948
       4.625000     1.191035
       4.675000     1.194565
       4.725000     1.208333
       4.775000     1.261073
       4.825000     1.273642
       4.875000     1.287475
       4.925000     1.334905
       4.975000     1.375472
       5.025000     1.384565
       5.075000     1.377771
       5.125000     1.402021
       5.175000     1.387566
       5.225000     1.392605
       5.275000     1.417439
       5.325000     1.388549
       5.375000     1.414077
       5.425000     1.441730
       5.475000     1.432034
       5.525000     1.409889
       5.575000     1.402984
       5.625000     1.422026
       5.675000     1.354277
       5.725000     1.358862
       5.775000     1.340964
       5.825000     1.369683
       5.875000     1.346609
       5.925000     1.328678
       5.975000     1.343786
       6.025000     1.336952
       6.075000     1.354358
       6.125000     1.303874
       6.175000     1.325741
       6.225000     1.279854
       6.275000     1.268045
       6.325000     1.273797
       6.375000     1.262016
       6.425000     1.232103
       6.475000     1.220905
       6.525000     1.218568
       6.575000     1.232103
       6.625000     1.226514
       6.675000     1.232392
       6.725000     1.179899
       6.775000     1.163817
       6.825000     1.163499
       6.875000     1.128256
       6.925000     1.075383
       6.975000     1.065508
       7.025000     1.056689
       7.075000     1.033855
       7.125000     0.985550
       7.175000     0.969882
       7.225000     0.972033
       7.275000     0.958075
       7.325000     0.936537
       7.375000     0.929950
       7.425000     0.908487
       7.475000     0.887861
       7.525000     0.880387
       7.575000     0.859161
       7.625000     0.822217
       7.675000     0.790610
       7.725000     0.788298
       7.775000     0.778834
       7.825000     0.760907
       7.875000     0.745405
       7.925000     0.722119
       7.975000     0.696150
