#Distance_(Ang)    @O_=>_@O1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000938
       2.325000     0.008979
       2.375000     0.107558
       2.425000     0.411848
       2.475000     1.057771
       2.525000     1.591816
       2.575000     1.853409
       2.625000     2.010286
       2.675000     1.854445
       2.725000     1.714466
       2.775000     1.513318
       2.825000     1.402448
       2.875000     1.249570
       2.925000     1.238985
       2.975000     1.192205
       3.025000     1.226848
       3.075000     1.185736
       3.125000     1.134677
       3.175000     1.058296
       3.225000     1.099002
       3.275000     1.100999
       3.325000     1.082623
       3.375000     1.029904
       3.425000     1.037706
       3.475000     0.996403
       3.525000     1.013258
       3.575000     1.032965
       3.625000     1.077800
       3.675000     1.063047
       3.725000     0.996223
       3.775000     1.011901
       3.825000     1.039031
       3.875000     1.023704
       3.925000     1.032760
       3.975000     1.061314
       4.025000     1.087240
       4.075000     1.053124
       4.125000     1.054847
       4.175000     1.082361
       4.225000     1.058254
       4.275000     1.110664
       4.325000     1.122756
       4.375000     1.104341
       4.425000     1.142983
       4.475000     1.131884
       4.525000     1.142566
       4.575000     1.167354
       4.625000     1.195120
       4.675000     1.236094
       4.725000     1.244639
       4.775000     1.295345
       4.825000     1.343276
       4.875000     1.365287
       4.925000     1.441762
       4.975000     1.466660
       5.025000     1.484328
       5.075000     1.508556
       5.125000     1.496450
       5.175000     1.497215
       5.225000     1.468342
       5.275000     1.483723
       5.325000     1.479955
       5.375000     1.426509
       5.425000     1.426228
       5.475000     1.375685
       5.525000     1.401303
       5.575000     1.402984
       5.625000     1.374932
       5.675000     1.366786
       5.725000     1.355456
       5.775000     1.351734
       5.825000     1.328628
       5.875000     1.331844
       5.925000     1.314576
       5.975000     1.294026
       6.025000     1.292026
       6.075000     1.277553
       6.125000     1.244748
       6.175000     1.251403
       6.225000     1.229377
       6.275000     1.227244
       6.325000     1.240433
       6.375000     1.216035
       6.425000     1.192362
       6.475000     1.200298
       6.525000     1.192689
       6.575000     1.173720
       6.625000     1.184823
       6.675000     1.161911
       6.725000     1.149420
       6.775000     1.139919
       6.825000     1.129843
       6.875000     1.122710
       6.925000     1.121131
       6.975000     1.107510
       7.025000     1.095833
       7.075000     1.031819
       7.125000     1.045402
       7.175000     1.008632
       7.225000     1.016664
       7.275000     1.005855
       7.325000     0.944045
       7.375000     0.947529
       7.425000     0.924951
       7.475000     0.900978
       7.525000     0.880730
       7.575000     0.849348
       7.625000     0.834322
       7.675000     0.832468
       7.725000     0.815790
       7.775000     0.785740
       7.825000     0.763126
       7.875000     0.731552
       7.925000     0.723355
       7.975000     0.710498
