#Distance_(Ang)    @O_=>_@O1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.002581
       2.425000     0.017332
       2.475000     0.113304
       2.525000     0.364648
       2.575000     0.762738
       2.625000     1.239700
       2.675000     1.478673
       2.725000     1.563478
       2.775000     1.689168
       2.825000     1.692547
       2.875000     1.621271
       2.925000     1.523770
       2.975000     1.446111
       3.025000     1.477734
       3.075000     1.393111
       3.125000     1.368273
       3.175000     1.286999
       3.225000     1.344003
       3.275000     1.330430
       3.325000     1.274914
       3.375000     1.198217
       3.425000     1.185832
       3.475000     1.167227
       3.525000     1.137084
       3.575000     1.078157
       3.625000     1.054530
       3.675000     1.073469
       3.725000     1.046594
       3.775000     1.111014
       3.825000     1.059931
       3.875000     1.056351
       3.925000     1.072457
       3.975000     1.080052
       4.025000     1.111807
       4.075000     1.095213
       4.125000     1.107047
       4.175000     1.098233
       4.225000     1.062877
       4.275000     1.091807
       4.325000     1.084354
       4.375000     1.075940
       4.425000     1.123152
       4.475000     1.145457
       4.525000     1.184286
       4.575000     1.203065
       4.625000     1.174244
       4.675000     1.203893
       4.725000     1.213768
       4.775000     1.279167
       4.825000     1.332226
       4.875000     1.309124
       4.925000     1.322299
       4.975000     1.338212
       5.025000     1.347274
       5.075000     1.319162
       5.125000     1.349171
       5.175000     1.342075
       5.225000     1.388516
       5.275000     1.359178
       5.325000     1.377252
       5.375000     1.398957
       5.425000     1.442060
       5.475000     1.397868
       5.525000     1.399713
       5.575000     1.403609
       5.625000     1.374932
       5.675000     1.391804
       5.725000     1.354568
       5.775000     1.333833
       5.825000     1.363532
       5.875000     1.331844
       5.925000     1.350385
       5.975000     1.331686
       6.025000     1.335347
       6.075000     1.320033
       6.125000     1.328326
       6.175000     1.287426
       6.225000     1.269333
       6.275000     1.296396
       6.325000     1.264334
       6.375000     1.270376
       6.425000     1.230457
       6.475000     1.268254
       6.525000     1.222672
       6.575000     1.206729
       6.625000     1.222644
       6.675000     1.194918
       6.725000     1.194280
       6.775000     1.172805
       6.825000     1.171835
       6.875000     1.130823
       6.925000     1.106354
       6.975000     1.077280
       7.025000     1.054329
       7.075000     1.053248
       7.125000     1.018918
       7.175000     0.981762
       7.225000     0.953343
       7.275000     0.962294
       7.325000     0.928396
       7.375000     0.910139
       7.425000     0.897218
       7.475000     0.910881
       7.525000     0.865216
       7.575000     0.846219
       7.625000     0.820130
       7.675000     0.825794
       7.725000     0.799929
       7.775000     0.768075
       7.825000     0.758767
       7.875000     0.726700
       7.925000     0.709058
       7.975000     0.675545
