#Distance_(Ang)    @O_=>_@O1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000938
       2.325000     0.009877
       2.375000     0.100674
       2.425000     0.425054
       2.475000     0.956352
       2.525000     1.604757
       2.575000     1.941981
       2.625000     1.975772
       2.675000     1.895143
       2.725000     1.677863
       2.775000     1.440835
       2.825000     1.390893
       2.875000     1.318273
       2.925000     1.218562
       2.975000     1.185625
       3.025000     1.161077
       3.075000     1.199595
       3.125000     1.092928
       3.175000     1.107407
       3.225000     1.075669
       3.275000     1.073395
       3.325000     1.068575
       3.375000     1.099360
       3.425000     1.035637
       3.475000     1.018912
       3.525000     1.007399
       3.575000     1.040940
       3.625000     1.005035
       3.675000     0.995124
       3.725000     0.973137
       3.775000     0.979885
       3.825000     1.001543
       3.875000     1.010128
       3.925000     1.079389
       3.975000     1.064386
       4.025000     1.045296
       4.075000     1.101351
       4.125000     1.117316
       4.175000     1.156987
       4.225000     1.122968
       4.275000     1.101103
       4.325000     1.132098
       4.375000     1.136038
       4.425000     1.122904
       4.475000     1.148366
       4.525000     1.156314
       4.575000     1.185673
       4.625000     1.247535
       4.675000     1.283619
       4.725000     1.290512
       4.775000     1.287895
       4.825000     1.319509
       4.875000     1.412261
       4.925000     1.395938
       4.975000     1.367235
       5.025000     1.437810
       5.075000     1.399254
       5.125000     1.347692
       5.175000     1.354399
       5.225000     1.382471
       5.275000     1.375750
       5.325000     1.345756
       5.375000     1.378460
       5.425000     1.371969
       5.475000     1.381190
       5.525000     1.367753
       5.575000     1.423130
       5.625000     1.403771
       5.675000     1.410040
       5.725000     1.384185
       5.775000     1.369344
       5.825000     1.401439
       5.875000     1.385280
       5.925000     1.330752
       5.975000     1.361324
       6.025000     1.342166
       6.075000     1.322794
       6.125000     1.338418
       6.175000     1.308684
       6.225000     1.270836
       6.275000     1.263114
       6.325000     1.254143
       6.375000     1.240399
       6.425000     1.218817
       6.475000     1.239891
       6.525000     1.206255
       6.575000     1.215711
       6.625000     1.178852
       6.675000     1.176072
       6.725000     1.147273
       6.775000     1.128921
       6.825000     1.107023
       6.875000     1.081018
       6.925000     1.082873
       6.975000     1.055332
       7.025000     1.026987
       7.075000     1.036085
       7.125000     1.012034
       7.175000     0.994773
       7.225000     0.991559
       7.275000     0.944869
       7.325000     0.951101
       7.375000     0.956275
       7.425000     0.932346
       7.475000     0.903063
       7.525000     0.870444
       7.575000     0.843343
       7.625000     0.820548
       7.675000     0.800498
       7.725000     0.786184
       7.775000     0.789433
       7.825000     0.768438
       7.875000     0.731474
       7.925000     0.725751
       7.975000     0.697982
