#Distance_(Ang)    @O_=>_@O1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.008823
       2.275000     0.104092
       2.325000     0.514479
       2.375000     1.352649
       2.425000     2.036958
       2.475000     2.278764
       2.525000     2.239657
       2.575000     2.067152
       2.625000     1.744737
       2.675000     1.494951
       2.725000     1.350395
       2.775000     1.162879
       2.825000     1.107484
       2.875000     0.995311
       2.925000     0.936046
       2.975000     0.885654
       3.025000     0.877305
       3.075000     0.881346
       3.125000     0.858836
       3.175000     0.838259
       3.225000     0.830668
       3.275000     0.803688
       3.325000     0.814821
       3.375000     0.830912
       3.425000     0.859376
       3.475000     0.864568
       3.525000     0.853887
       3.575000     0.902325
       3.625000     0.912325
       3.675000     0.939061
       3.725000     0.954247
       3.775000     1.016329
       3.825000     1.029742
       3.875000     1.040512
       3.925000     1.067417
       3.975000     1.130737
       4.025000     1.169330
       4.075000     1.169163
       4.125000     1.153828
       4.175000     1.194857
       4.225000     1.168648
       4.275000     1.200430
       4.325000     1.193594
       4.375000     1.259785
       4.425000     1.271138
       4.475000     1.265674
       4.525000     1.254452
       4.575000     1.297214
       4.625000     1.335121
       4.675000     1.371341
       4.725000     1.351820
       4.775000     1.404337
       4.825000     1.400818
       4.875000     1.454741
       4.925000     1.471377
       4.975000     1.471955
       5.025000     1.433197
       5.075000     1.421303
       5.125000     1.441752
       5.175000     1.443206
       5.225000     1.426740
       5.275000     1.399298
       5.325000     1.377423
       5.375000     1.374764
       5.425000     1.359435
       5.475000     1.329537
       5.525000     1.336429
       5.575000     1.322091
       5.625000     1.309737
       5.675000     1.325642
       5.725000     1.299034
       5.775000     1.316660
       5.825000     1.316898
       5.875000     1.335922
       5.925000     1.291348
       5.975000     1.274992
       6.025000     1.245094
       6.075000     1.245463
       6.125000     1.245136
       6.175000     1.230145
       6.225000     1.236516
       6.275000     1.241666
       6.325000     1.267124
       6.375000     1.271093
       6.425000     1.249740
       6.475000     1.249616
       6.525000     1.258924
       6.575000     1.239064
       6.625000     1.224855
       6.675000     1.223895
       6.725000     1.193422
       6.775000     1.164028
       6.825000     1.122549
       6.875000     1.111106
       6.925000     1.092792
       6.975000     1.103320
       7.025000     1.073409
       7.075000     1.046267
       7.125000     1.037944
       7.175000     1.024566
       7.225000     0.999741
       7.275000     0.990265
       7.325000     0.956981
       7.375000     0.957435
       7.425000     0.932082
       7.475000     0.915224
       7.525000     0.881930
       7.575000     0.865928
       7.625000     0.838413
       7.675000     0.806760
       7.725000     0.779921
       7.775000     0.765265
       7.825000     0.752029
       7.875000     0.733979
       7.925000     0.703803
       7.975000     0.655703
