#Distance_(Ang)    @O_=>_@O1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.001585
       2.525000     0.006851
       2.575000     0.053436
       2.625000     0.169050
       2.675000     0.412400
       2.725000     0.805923
       2.775000     1.118128
       2.825000     1.434073
       2.875000     1.639474
       2.925000     1.740479
       2.975000     1.709340
       3.025000     1.603972
       3.075000     1.704174
       3.125000     1.758924
       3.175000     1.748740
       3.225000     1.685603
       3.275000     1.643579
       3.325000     1.565984
       3.375000     1.458143
       3.425000     1.491599
       3.475000     1.461445
       3.525000     1.409734
       3.575000     1.347031
       3.625000     1.326381
       3.675000     1.280472
       3.725000     1.234085
       3.775000     1.133152
       3.825000     1.107039
       3.875000     1.099989
       3.925000     1.087895
       3.975000     1.072065
       4.025000     1.041102
       4.075000     0.977128
       4.125000     0.976974
       4.175000     1.001052
       4.225000     1.032967
       4.275000     1.034707
       4.325000     1.057628
       4.375000     1.051596
       4.425000     1.074815
       4.475000     1.082925
       4.525000     1.114357
       4.575000     1.131410
       4.625000     1.134535
       4.675000     1.188569
       4.725000     1.184636
       4.775000     1.225522
       4.825000     1.232362
       4.875000     1.252960
       4.925000     1.262467
       4.975000     1.272909
       5.025000     1.358423
       5.075000     1.331035
       5.125000     1.303712
       5.175000     1.301840
       5.225000     1.310112
       5.275000     1.356039
       5.325000     1.355171
       5.375000     1.350404
       5.425000     1.367681
       5.475000     1.376009
       5.525000     1.382858
       5.575000     1.401110
       5.625000     1.392573
       5.675000     1.451485
       5.725000     1.455120
       5.775000     1.433088
       5.825000     1.400152
       5.875000     1.438998
       5.925000     1.392969
       5.975000     1.365131
       6.025000     1.381343
       6.075000     1.365800
       6.125000     1.325609
       6.175000     1.385059
       6.225000     1.331710
       6.275000     1.295657
       6.325000     1.309346
       6.375000     1.273123
       6.425000     1.253385
       6.475000     1.253899
       6.525000     1.209333
       6.575000     1.242096
       6.625000     1.224192
       6.675000     1.187293
       6.725000     1.172172
       6.775000     1.148696
       6.825000     1.132864
       6.875000     1.140989
       6.925000     1.100180
       6.975000     1.077280
       7.025000     1.033872
       7.075000     1.019795
       7.125000     0.975798
       7.175000     0.971013
       7.225000     0.963757
       7.275000     0.959818
       7.325000     0.928758
       7.375000     0.916385
       7.425000     0.897130
       7.475000     0.853375
       7.525000     0.860073
       7.575000     0.841397
       7.625000     0.813368
       7.675000     0.806183
       7.725000     0.770974
       7.775000     0.756353
       7.825000     0.756389
       7.875000     0.751823
       7.925000     0.717018
       7.975000     0.705232
