#Distance_(Ang)    @O_=>_@O1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.005636
       2.125000     0.099959
       2.175000     0.715107
       2.225000     2.010773
       2.275000     2.768291
       2.325000     2.547255
       2.375000     2.328414
       2.425000     2.192123
       2.475000     2.122674
       2.525000     1.876531
       2.575000     1.556220
       2.625000     1.184055
       2.675000     0.949606
       2.725000     0.734678
       2.775000     0.573561
       2.825000     0.485931
       2.875000     0.487967
       2.925000     0.517378
       2.975000     0.509457
       3.025000     0.469417
       3.075000     0.541024
       3.125000     0.596911
       3.175000     0.595592
       3.225000     0.637935
       3.275000     0.658880
       3.325000     0.718676
       3.375000     0.715436
       3.425000     0.718285
       3.475000     0.735546
       3.525000     0.774592
       3.575000     0.857513
       3.625000     0.916019
       3.675000     0.938342
       3.725000     1.007766
       3.775000     1.021778
       3.825000     1.072537
       3.875000     1.158172
       3.925000     1.174221
       3.975000     1.226270
       4.025000     1.275687
       4.075000     1.309463
       4.125000     1.331537
       4.175000     1.332693
       4.225000     1.300250
       4.275000     1.343048
       4.325000     1.364589
       4.375000     1.352342
       4.425000     1.393591
       4.475000     1.381287
       4.525000     1.342396
       4.575000     1.338955
       4.625000     1.341248
       4.675000     1.324704
       4.725000     1.398127
       4.775000     1.384753
       4.825000     1.387475
       4.875000     1.393676
       4.925000     1.415748
       4.975000     1.415673
       5.025000     1.455110
       5.075000     1.457863
       5.125000     1.453209
       5.175000     1.440125
       5.225000     1.405228
       5.275000     1.383425
       5.325000     1.350207
       5.375000     1.322347
       5.425000     1.315401
       5.475000     1.320146
       5.525000     1.330228
       5.575000     1.310066
       5.625000     1.333360
       5.675000     1.291883
       5.725000     1.252534
       5.775000     1.262957
       5.825000     1.258678
       5.875000     1.279954
       5.925000     1.277246
       5.975000     1.284373
       6.025000     1.270632
       6.075000     1.249014
       6.125000     1.232845
       6.175000     1.237910
       6.225000     1.232383
       6.275000     1.226258
       6.325000     1.249775
       6.375000     1.210303
       6.425000     1.198593
       6.475000     1.198909
       6.525000     1.216972
       6.575000     1.241534
       6.625000     1.201411
       6.675000     1.205158
       6.725000     1.214886
       6.775000     1.176612
       6.825000     1.166104
       6.875000     1.163376
       6.925000     1.144714
       6.975000     1.106811
       7.025000     1.086883
       7.075000     1.079332
       7.125000     1.057927
       7.175000     1.037954
       7.225000     1.029216
       7.275000     1.008331
       7.325000     0.980591
       7.375000     0.961808
       7.425000     0.923102
       7.475000     0.903758
       7.525000     0.889730
       7.575000     0.869227
       7.625000     0.833654
       7.675000     0.798603
       7.725000     0.797327
       7.775000     0.781966
       7.825000     0.758291
       7.875000     0.719343
       7.925000     0.717868
       7.975000     0.695463
