#Distance_(Ang)    @O_=>_@O1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.001796
       2.375000     0.018930
       2.425000     0.102343
       2.475000     0.430240
       2.525000     0.961484
       2.575000     1.427389
       2.625000     1.870820
       2.675000     1.985355
       2.725000     1.788326
       2.775000     1.624248
       2.825000     1.458400
       2.875000     1.342936
       2.925000     1.253735
       2.975000     1.257464
       3.025000     1.200858
       3.075000     1.209348
       3.125000     1.190840
       3.175000     1.163258
       3.225000     1.210069
       3.275000     1.143989
       3.325000     1.171744
       3.375000     1.105326
       3.425000     1.073703
       3.475000     1.059909
       3.525000     1.093335
       3.575000     1.064485
       3.625000     1.054161
       3.675000     1.067719
       3.725000     1.072129
       3.775000     1.079679
       3.825000     1.017467
       3.875000     1.049240
       3.925000     1.062691
       3.975000     1.135959
       4.025000     1.153451
       4.075000     1.103982
       4.125000     1.059696
       4.175000     1.119953
       4.225000     1.093602
       4.275000     1.111195
       4.325000     1.093695
       4.375000     1.107891
       4.425000     1.126375
       4.475000     1.148366
       4.525000     1.151336
       4.575000     1.163875
       4.625000     1.179690
       4.675000     1.240536
       4.725000     1.239856
       4.775000     1.298113
       4.825000     1.285526
       4.875000     1.367942
       4.925000     1.367923
       4.975000     1.397043
       5.025000     1.418781
       5.075000     1.481231
       5.125000     1.461894
       5.175000     1.490872
       5.225000     1.469765
       5.275000     1.459303
       5.325000     1.456162
       5.375000     1.437597
       5.425000     1.385822
       5.475000     1.371475
       5.525000     1.352806
       5.575000     1.360351
       5.625000     1.349314
       5.675000     1.294596
       5.725000     1.319619
       5.775000     1.268342
       5.825000     1.321333
       5.875000     1.295563
       5.925000     1.275448
       5.975000     1.317683
       6.025000     1.295502
       6.075000     1.305040
       6.125000     1.290936
       6.175000     1.265532
       6.225000     1.287119
       6.275000     1.256335
       6.325000     1.292845
       6.375000     1.246729
       6.425000     1.259499
       6.475000     1.254362
       6.525000     1.275341
       6.575000     1.261631
       6.625000     1.266657
       6.675000     1.252872
       6.725000     1.187412
       6.775000     1.152079
       6.825000     1.127967
       6.875000     1.088207
       6.925000     1.080950
       6.975000     1.070197
       7.025000     1.059345
       7.075000     1.062945
       7.125000     1.034598
       7.175000     1.011178
       7.225000     0.984771
       7.275000     0.959726
       7.325000     0.948659
       7.375000     0.947886
       7.425000     0.944231
       7.475000     0.932684
       7.525000     0.885530
       7.575000     0.851548
       7.625000     0.832653
       7.675000     0.818214
       7.725000     0.787810
       7.775000     0.805813
       7.825000     0.761145
       7.875000     0.748849
       7.925000     0.703107
       7.975000     0.714848
