#Distance_(Ang)    @O_=>_@O1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000860
       2.425000     0.018158
       2.475000     0.136282
       2.525000     0.396622
       2.575000     0.918653
       2.625000     1.355218
       2.675000     1.640106
       2.725000     1.838655
       2.775000     1.743372
       2.825000     1.674910
       2.875000     1.623619
       2.925000     1.544760
       2.975000     1.531660
       3.025000     1.534488
       3.075000     1.434689
       3.125000     1.419962
       3.175000     1.324555
       3.225000     1.242269
       3.275000     1.188336
       3.325000     1.148915
       3.375000     1.150919
       3.425000     1.051360
       3.475000     1.010069
       3.525000     1.005837
       3.575000     1.014736
       3.625000     1.036801
       3.675000     1.058375
       3.725000     1.076327
       3.775000     1.076614
       3.825000     1.112347
       3.875000     1.081887
       3.925000     1.062376
       3.975000     1.045033
       4.025000     1.073758
       4.075000     1.071246
       4.125000     1.054847
       4.175000     1.116054
       4.225000     1.111004
       4.275000     1.154485
       4.325000     1.121200
       4.375000     1.149478
       4.425000     1.170993
       4.475000     1.137216
       4.525000     1.145410
       4.575000     1.149498
       4.625000     1.177421
       4.675000     1.194121
       4.725000     1.218986
       4.775000     1.253835
       4.825000     1.251751
       4.875000     1.306673
       4.925000     1.288281
       4.975000     1.359783
       5.025000     1.343622
       5.075000     1.396804
       5.125000     1.394630
       5.175000     1.390466
       5.225000     1.410917
       5.275000     1.381157
       5.325000     1.390946
       5.375000     1.399965
       5.425000     1.442555
       5.475000     1.444663
       5.525000     1.472537
       5.575000     1.423130
       5.625000     1.447644
       5.675000     1.422700
       5.725000     1.413507
       5.775000     1.421009
       5.825000     1.401868
       5.875000     1.355046
       5.925000     1.367391
       5.975000     1.356974
       6.025000     1.326255
       6.075000     1.317797
       6.125000     1.306332
       6.175000     1.288190
       6.225000     1.257684
       6.275000     1.278276
       6.325000     1.234003
       6.375000     1.229889
       6.425000     1.210234
       6.475000     1.242669
       6.525000     1.208877
       6.575000     1.185285
       6.625000     1.187588
       6.675000     1.178251
       6.725000     1.158220
       6.775000     1.114646
       6.825000     1.107127
       6.875000     1.100221
       6.925000     1.079533
       6.975000     1.068002
       7.025000     1.054329
       7.075000     1.043455
       7.125000     1.014424
       7.175000     1.014760
       7.225000     0.982632
       7.275000     0.955232
       7.325000     0.954901
       7.375000     0.925131
       7.425000     0.899155
       7.475000     0.876221
       7.525000     0.894616
       7.575000     0.878785
       7.625000     0.858532
       7.675000     0.851173
       7.725000     0.813512
       7.775000     0.788229
       7.825000     0.758053
       7.875000     0.727404
       7.925000     0.691438
       7.975000     0.689282
