#Distance_(Ang)    @O_=>_@O1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.008208
       2.225000     0.128431
       2.275000     0.646122
       2.325000     1.684403
       2.375000     2.365414
       2.425000     2.501628
       2.475000     2.316797
       2.525000     2.005185
       2.575000     1.758982
       2.625000     1.517224
       2.675000     1.270437
       2.725000     1.120972
       2.775000     0.992701
       2.825000     0.892799
       2.875000     0.828545
       2.925000     0.786846
       2.975000     0.754588
       3.025000     0.760083
       3.075000     0.748399
       3.125000     0.753469
       3.175000     0.776148
       3.225000     0.748535
       3.275000     0.736714
       3.325000     0.748529
       3.375000     0.830912
       3.425000     0.815932
       3.475000     0.832815
       3.525000     0.827325
       3.575000     0.838524
       3.625000     0.839192
       3.675000     0.959905
       3.725000     0.974886
       3.775000     0.996915
       3.825000     1.035382
       3.875000     1.123585
       3.925000     1.105224
       3.975000     1.225656
       4.025000     1.211872
       4.075000     1.240482
       4.125000     1.253950
       4.175000     1.258067
       4.225000     1.211881
       4.275000     1.252219
       4.325000     1.244970
       4.375000     1.237217
       4.425000     1.270394
       4.475000     1.236590
       4.525000     1.236673
       4.575000     1.251299
       4.625000     1.271133
       4.675000     1.328035
       4.725000     1.344863
       4.775000     1.372193
       4.825000     1.412911
       4.875000     1.425127
       4.925000     1.458371
       4.975000     1.488035
       5.025000     1.502204
       5.075000     1.480477
       5.125000     1.460970
       5.175000     1.495947
       5.225000     1.430474
       5.275000     1.423195
       5.325000     1.367495
       5.375000     1.363676
       5.425000     1.356137
       5.475000     1.325489
       5.525000     1.323232
       5.575000     1.341768
       5.625000     1.288567
       5.675000     1.309064
       5.725000     1.280375
       5.775000     1.273873
       5.825000     1.280564
       5.875000     1.273485
       5.925000     1.242957
       5.975000     1.231487
       6.025000     1.229183
       6.075000     1.246252
       6.125000     1.181999
       6.175000     1.201250
       6.225000     1.193804
       6.275000     1.218369
       6.325000     1.218109
       6.375000     1.229531
       6.425000     1.222344
       6.475000     1.276011
       6.525000     1.266563
       6.575000     1.252649
       6.625000     1.259027
       6.675000     1.227926
       6.725000     1.222721
       6.775000     1.181370
       6.825000     1.188611
       6.875000     1.166354
       6.925000     1.140868
       6.975000     1.122674
       7.025000     1.045674
       7.075000     1.034922
       7.125000     1.013755
       7.175000     1.016175
       7.225000     0.991280
       7.275000     0.950555
       7.325000     0.957343
       7.375000     0.926737
       7.425000     0.890527
       7.475000     0.867969
       7.525000     0.865387
       7.575000     0.865166
       7.625000     0.847179
       7.675000     0.830408
       7.725000     0.809120
       7.775000     0.800915
       7.825000     0.787621
       7.875000     0.772485
       7.925000     0.739662
       7.975000     0.708437
