#Distance_(Ang)    @O_=>_@O1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000825
       2.475000     0.011885
       2.525000     0.135506
       2.575000     0.402597
       2.625000     0.822710
       2.675000     1.227705
       2.725000     1.541254
       2.775000     1.569413
       2.825000     1.672477
       2.875000     1.667660
       2.925000     1.606029
       2.975000     1.633661
       3.025000     1.634206
       3.075000     1.651304
       3.125000     1.550179
       3.175000     1.461295
       3.225000     1.381803
       3.275000     1.386543
       3.325000     1.353498
       3.375000     1.260855
       3.425000     1.310787
       3.475000     1.230733
       3.525000     1.189817
       3.575000     1.214873
       3.625000     1.122123
       3.675000     1.104016
       3.725000     1.102562
       3.775000     1.106927
       3.825000     1.093437
       3.875000     1.061846
       3.925000     1.099552
       3.975000     1.069300
       4.025000     1.050389
       4.075000     1.050201
       4.125000     1.052565
       4.175000     1.028619
       4.225000     1.025898
       4.275000     1.068171
       4.325000     1.083835
       4.375000     1.118034
       4.425000     1.089192
       4.475000     1.142064
       4.525000     1.146121
       4.575000     1.151585
       4.625000     1.166983
       4.675000     1.233873
       4.725000     1.251162
       4.775000     1.290449
       4.825000     1.343276
       4.875000     1.343435
       4.925000     1.378728
       4.975000     1.328799
       5.025000     1.377261
       5.075000     1.385874
       5.125000     1.360443
       5.175000     1.410402
       5.225000     1.402383
       5.275000     1.346619
       5.325000     1.327954
       5.375000     1.340324
       5.425000     1.349045
       5.475000     1.329861
       5.525000     1.341676
       5.575000     1.360507
       5.625000     1.362813
       5.675000     1.373116
       5.725000     1.364045
       5.775000     1.352316
       5.825000     1.370112
       5.875000     1.356734
       5.925000     1.349832
       5.975000     1.323936
       6.025000     1.319302
       6.075000     1.330291
       6.125000     1.330784
       6.175000     1.310593
       6.225000     1.292881
       6.275000     1.279509
       6.325000     1.251837
       6.375000     1.241235
       6.425000     1.254561
       6.475000     1.266171
       6.525000     1.247182
       6.575000     1.275778
       6.625000     1.255156
       6.675000     1.209625
       6.725000     1.198680
       6.775000     1.151339
       6.825000     1.150162
       6.875000     1.131439
       6.925000     1.112123
       6.975000     1.093842
       7.025000     1.072032
       7.075000     1.053927
       7.125000     1.027236
       7.175000     1.014949
       7.225000     1.021871
       7.275000     0.996134
       7.325000     0.984119
       7.375000     0.937803
       7.425000     0.928296
       7.475000     0.914529
       7.525000     0.891702
       7.575000     0.856200
       7.625000     0.823136
       7.675000     0.810468
       7.725000     0.782117
       7.775000     0.773214
       7.825000     0.754090
       7.875000     0.728656
       7.925000     0.710140
       7.975000     0.688137
