#Distance_(Ang)    @O_=>_@O1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.009234
       2.225000     0.151960
       2.275000     0.743650
       2.325000     1.696075
       2.375000     2.446298
       2.425000     2.433950
       2.475000     2.201115
       2.525000     1.935910
       2.575000     1.840233
       2.625000     1.617950
       2.675000     1.278577
       2.725000     1.198100
       2.775000     0.944799
       2.825000     0.850227
       2.875000     0.710517
       2.925000     0.702886
       2.975000     0.684394
       3.025000     0.697495
       3.075000     0.709902
       3.125000     0.667486
       3.175000     0.667814
       3.225000     0.677601
       3.275000     0.682411
       3.325000     0.730529
       3.375000     0.779353
       3.425000     0.789037
       3.475000     0.788200
       3.525000     0.823419
       3.575000     0.883716
       3.625000     0.945199
       3.675000     0.976796
       3.725000     0.964392
       3.775000     1.050729
       3.825000     1.016472
       3.875000     1.049563
       3.925000     1.127908
       3.975000     1.137188
       4.025000     1.173824
       4.075000     1.207745
       4.125000     1.218579
       4.175000     1.240803
       4.225000     1.245053
       4.275000     1.239736
       4.325000     1.253533
       4.375000     1.332563
       4.425000     1.367812
       4.475000     1.403100
       4.525000     1.379613
       4.575000     1.401103
       4.625000     1.378914
       4.675000     1.423085
       4.725000     1.391605
       4.775000     1.405828
       4.825000     1.444184
       4.875000     1.403887
       4.925000     1.434158
       4.975000     1.445285
       5.025000     1.452035
       5.075000     1.419230
       5.125000     1.427523
       5.175000     1.409314
       5.225000     1.375182
       5.275000     1.380285
       5.325000     1.371945
       5.375000     1.353596
       5.425000     1.359270
       5.475000     1.364027
       5.525000     1.319257
       5.575000     1.295543
       5.625000     1.298538
       5.675000     1.276813
       5.725000     1.292074
       5.775000     1.258446
       5.825000     1.236076
       5.875000     1.224829
       5.925000     1.222080
       5.975000     1.222514
       6.025000     1.216614
       6.075000     1.202588
       6.125000     1.223659
       6.175000     1.216907
       6.225000     1.221736
       6.275000     1.207398
       6.325000     1.217624
       6.375000     1.232875
       6.425000     1.210939
       6.475000     1.228198
       6.525000     1.263598
       6.575000     1.240524
       6.625000     1.234145
       6.675000     1.228906
       6.725000     1.206622
       6.775000     1.204105
       6.825000     1.176733
       6.875000     1.196442
       6.925000     1.167487
       6.975000     1.136642
       7.025000     1.136747
       7.075000     1.102216
       7.125000     1.056397
       7.175000     1.028431
       7.225000     1.016478
       7.275000     0.987697
       7.325000     0.974621
       7.375000     0.946816
       7.425000     0.924334
       7.475000     0.902542
       7.525000     0.873359
       7.575000     0.846134
       7.625000     0.808610
       7.675000     0.796543
       7.725000     0.770323
       7.775000     0.757557
       7.825000     0.759956
       7.875000     0.733665
       7.925000     0.721578
       7.975000     0.699508
