#Distance_(Ang)    @O_=>_@O1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.003442
       2.425000     0.023110
       2.475000     0.113304
       2.525000     0.380635
       2.575000     0.853505
       2.625000     1.335495
       2.675000     1.669950
       2.725000     1.746494
       2.775000     1.727615
       2.825000     1.697412
       2.875000     1.651805
       2.925000     1.564048
       2.975000     1.540435
       3.025000     1.488342
       3.075000     1.391571
       3.125000     1.330003
       3.175000     1.270147
       3.225000     1.235736
       3.275000     1.197839
       3.325000     1.140135
       3.375000     1.141545
       3.425000     1.103080
       3.475000     1.090859
       3.525000     1.082007
       3.575000     1.068283
       3.625000     1.027567
       3.675000     1.061250
       3.725000     1.023857
       3.775000     1.053454
       3.825000     1.115996
       3.875000     1.090292
       3.925000     1.060170
       3.975000     1.047491
       4.025000     1.061474
       4.075000     1.058677
       4.125000     1.134146
       4.175000     1.138609
       4.225000     1.107469
       4.275000     1.134300
       4.325000     1.108485
       4.375000     1.111948
       4.425000     1.105057
       4.475000     1.095043
       4.525000     1.113172
       4.575000     1.161324
       4.625000     1.170840
       4.675000     1.222103
       4.725000     1.210072
       4.775000     1.223394
       4.825000     1.236531
       4.875000     1.309736
       4.925000     1.311893
       4.975000     1.358411
       5.025000     1.366689
       5.075000     1.397935
       5.125000     1.384466
       5.175000     1.422001
       5.225000     1.418562
       5.275000     1.446220
       5.325000     1.441613
       5.375000     1.470862
       5.425000     1.452780
       5.475000     1.438510
       5.525000     1.410843
       5.575000     1.419694
       5.625000     1.428315
       5.675000     1.441840
       5.725000     1.439570
       5.775000     1.385207
       5.825000     1.382843
       5.875000     1.371781
       5.925000     1.353427
       5.975000     1.342155
       6.025000     1.343771
       6.075000     1.317008
       6.125000     1.286149
       6.175000     1.290736
       6.225000     1.239522
       6.275000     1.228476
       6.325000     1.208767
       6.375000     1.183670
       6.425000     1.228576
       6.475000     1.196940
       6.525000     1.192803
       6.575000     1.203922
       6.625000     1.187145
       6.675000     1.196443
       6.725000     1.164981
       6.775000     1.191416
       6.825000     1.146827
       6.875000     1.108642
       6.925000     1.099472
       6.975000     1.079575
       7.025000     1.055607
       7.075000     1.030946
       7.125000     1.040048
       7.175000     1.001655
       7.225000     1.018709
       7.275000     0.959818
       7.325000     0.944226
       7.375000     0.924149
       7.425000     0.895193
       7.475000     0.878567
       7.525000     0.872930
       7.575000     0.837760
       7.625000     0.840667
       7.675000     0.806678
       7.725000     0.791796
       7.775000     0.773134
       7.825000     0.753139
       7.875000     0.731552
       7.925000     0.720264
       7.975000     0.709124
