#Distance_(Ang)    @O_=>_@O1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.009877
       2.375000     0.098953
       2.425000     0.470448
       2.475000     1.096596
       2.525000     1.575068
       2.575000     1.919289
       2.625000     1.909561
       2.675000     1.714717
       2.725000     1.546483
       2.775000     1.376546
       2.825000     1.269866
       2.875000     1.216687
       2.925000     1.203812
       2.975000     1.136269
       3.025000     1.069315
       3.075000     1.052790
       3.125000     1.080503
       3.175000     1.057333
       3.225000     1.078002
       3.275000     1.043528
       3.325000     1.054965
       3.375000     1.035444
       3.425000     1.010398
       3.475000     0.978316
       3.525000     0.966384
       3.575000     1.034863
       3.625000     1.028675
       3.675000     0.985062
       3.725000     0.993075
       3.775000     1.044258
       3.825000     1.122631
       3.875000     1.089645
       3.925000     1.110895
       3.975000     1.099711
       4.025000     1.187605
       4.075000     1.167701
       4.125000     1.121024
       4.175000     1.149747
       4.225000     1.174086
       4.275000     1.161124
       4.325000     1.173095
       4.375000     1.162664
       4.425000     1.179173
       4.475000     1.182783
       4.525000     1.189738
       4.575000     1.239936
       4.625000     1.236644
       4.675000     1.230098
       4.725000     1.303121
       4.775000     1.295984
       4.825000     1.312837
       4.875000     1.305652
       4.925000     1.368123
       4.975000     1.313307
       5.025000     1.326130
       5.075000     1.407546
       5.125000     1.439534
       5.175000     1.444475
       5.225000     1.436163
       5.275000     1.431917
       5.325000     1.429117
       5.375000     1.432725
       5.425000     1.391430
       5.475000     1.372932
       5.525000     1.391285
       5.575000     1.347233
       5.625000     1.383216
       5.675000     1.370102
       5.725000     1.356493
       5.775000     1.337617
       5.825000     1.297158
       5.875000     1.362640
       5.925000     1.331443
       5.975000     1.302591
       6.025000     1.324383
       6.075000     1.315298
       6.125000     1.312024
       6.175000     1.283480
       6.225000     1.281232
       6.275000     1.276920
       6.325000     1.256084
       6.375000     1.244699
       6.425000     1.217994
       6.475000     1.203655
       6.525000     1.231222
       6.575000     1.241422
       6.625000     1.205061
       6.675000     1.201563
       6.725000     1.208661
       6.775000     1.176083
       6.825000     1.178712
       6.875000     1.153209
       6.925000     1.124066
       6.975000     1.079276
       7.025000     1.088260
       7.075000     1.064497
       7.125000     1.043490
       7.175000     1.007312
       7.225000     0.997045
       7.275000     0.979443
       7.325000     0.970912
       7.375000     0.949403
       7.425000     0.909720
       7.475000     0.879088
       7.525000     0.871902
       7.575000     0.839705
       7.625000     0.823219
       7.675000     0.808079
       7.725000     0.777400
       7.775000     0.756112
       7.825000     0.732846
       7.875000     0.732805
       7.925000     0.693525
       7.975000     0.682795
