#Distance_(Ang)    @O_=>_@O1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.015264
       2.375000     0.164349
       2.425000     0.598377
       2.475000     1.214654
       2.525000     1.833900
       2.575000     1.991024
       2.625000     1.970137
       2.675000     1.926344
       2.725000     1.629494
       2.775000     1.520251
       2.825000     1.404273
       2.875000     1.265425
       2.925000     1.228774
       2.975000     1.212496
       3.025000     1.146755
       3.075000     1.129272
       3.125000     1.098892
       3.175000     1.036629
       3.225000     0.980468
       3.275000     0.984699
       3.325000     0.969795
       3.375000     1.008173
       3.425000     0.976470
       3.475000     0.972689
       3.525000     0.919120
       3.575000     0.945239
       3.625000     0.922668
       3.675000     0.936545
       3.725000     0.945153
       3.775000     0.972733
       3.825000     0.971686
       3.875000     0.992996
       3.925000     0.987077
       3.975000     0.966395
       4.025000     1.020729
       4.075000     1.018633
       4.125000     1.037161
       4.175000     1.055072
       4.225000     1.113995
       4.275000     1.171482
       4.325000     1.213833
       4.375000     1.242795
       4.425000     1.262710
       4.475000     1.265674
       4.525000     1.319403
       4.575000     1.285388
       4.625000     1.299724
       4.675000     1.326258
       4.725000     1.393996
       4.775000     1.375174
       4.825000     1.401652
       4.875000     1.436768
       4.925000     1.451767
       4.975000     1.458031
       5.025000     1.418973
       5.075000     1.472750
       5.125000     1.484808
       5.175000     1.439219
       5.225000     1.449675
       5.275000     1.424591
       5.325000     1.396081
       5.375000     1.398789
       5.425000     1.389286
       5.475000     1.412279
       5.525000     1.374113
       5.575000     1.358477
       5.625000     1.402084
       5.675000     1.415918
       5.725000     1.370561
       5.775000     1.331941
       5.825000     1.301878
       5.875000     1.299360
       5.925000     1.292316
       5.975000     1.284917
       6.025000     1.240949
       6.075000     1.237177
       6.125000     1.217061
       6.175000     1.168281
       6.225000     1.169505
       6.275000     1.171281
       6.325000     1.182803
       6.375000     1.195852
       6.425000     1.171550
       6.475000     1.177491
       6.525000     1.175361
       6.575000     1.174394
       6.625000     1.168899
       6.675000     1.177053
       6.725000     1.190202
       6.775000     1.168152
       6.825000     1.174128
       6.875000     1.147253
       6.925000     1.181555
       6.975000     1.149611
       7.025000     1.114421
       7.075000     1.095817
       7.125000     1.072651
       7.175000     1.054830
       7.225000     1.037120
       7.275000     1.020895
       7.325000     0.989095
       7.375000     0.950296
       7.425000     0.924951
       7.475000     0.907406
       7.525000     0.893588
       7.575000     0.879631
       7.625000     0.839331
       7.675000     0.828101
       7.725000     0.812292
       7.775000     0.781725
       7.825000     0.750285
       7.875000     0.739457
       7.925000     0.719800
       7.975000     0.704469
