#Distance_(Ang)    @O_=>_@S1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.000000
       2.525000     0.000000
       2.575000     0.000000
       2.625000     0.000000
       2.675000     0.000000
       2.725000     0.000000
       2.775000     0.000630
       2.825000     0.000608
       2.875000     0.022901
       2.925000     0.067509
       2.975000     0.170550
       3.025000     0.419027
       3.075000     0.662677
       3.125000     1.084976
       3.175000     1.529666
       3.225000     1.829803
       3.275000     2.216478
       3.325000     2.426463
       3.375000     2.547277
       3.425000     2.595507
       3.475000     2.627064
       3.525000     2.371821
       3.575000     2.171125
       3.625000     2.069908
       3.675000     1.954310
       3.725000     1.715757
       3.775000     1.573879
       3.825000     1.525040
       3.875000     1.517616
       3.925000     1.462814
       3.975000     1.378633
       4.025000     1.269695
       4.075000     1.246035
       4.125000     1.212589
       4.175000     1.197364
       4.225000     1.209434
       4.275000     1.129520
       4.325000     1.089803
       4.375000     1.118541
       4.425000     1.103570
       4.475000     1.091408
       4.525000     1.139958
       4.575000     1.133729
       4.625000     1.184001
       4.675000     1.191900
       4.725000     1.206376
       4.775000     1.218710
       4.825000     1.228192
       4.875000     1.198839
       4.925000     1.190429
       4.975000     1.168778
       5.025000     1.156784
       5.075000     1.150875
       5.125000     1.111527
       5.175000     1.103202
       5.225000     1.115791
       5.275000     1.106775
       5.325000     1.115187
       5.375000     1.132001
       5.425000     1.148338
       5.475000     1.218783
       5.525000     1.161207
       5.575000     1.222458
       5.625000     1.289488
       5.675000     1.291281
       5.725000     1.325838
       5.775000     1.388118
       5.825000     1.413455
       5.875000     1.423952
       5.925000     1.417579
       5.975000     1.397488
       6.025000     1.417444
       6.075000     1.433005
       6.125000     1.457834
       6.175000     1.420064
       6.225000     1.390329
       6.275000     1.353346
       6.325000     1.342468
       6.375000     1.375474
       6.425000     1.332162
       6.475000     1.310395
       6.525000     1.322424
       6.575000     1.312492
       6.625000     1.269532
       6.675000     1.234244
       6.725000     1.209305
       6.775000     1.192262
       6.825000     1.162457
       6.875000     1.151669
       6.925000     1.138742
       6.975000     1.100127
       7.025000     1.089539
       7.075000     1.045297
       7.125000     1.023412
       7.175000     1.009575
       7.225000     0.983004
       7.275000     0.968438
       7.325000     0.957614
       7.375000     0.927362
       7.425000     0.882779
       7.475000     0.863365
       7.525000     0.836930
       7.575000     0.813483
       7.625000     0.793917
       7.675000     0.791929
       7.725000     0.772519
       7.775000     0.753864
       7.825000     0.736571
       7.875000     0.707525
       7.925000     0.676600
       7.975000     0.652269
