#Distance_(Ang)    @O_=>_@S1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.000000
       2.525000     0.000000
       2.575000     0.000000
       2.625000     0.000000
       2.675000     0.000000
       2.725000     0.000000
       2.775000     0.001891
       2.825000     0.008514
       2.875000     0.031709
       2.925000     0.088499
       2.975000     0.234164
       3.025000     0.398871
       3.075000     0.700149
       3.125000     1.024341
       3.175000     1.429518
       3.225000     1.820470
       3.275000     2.134118
       3.325000     2.341732
       3.375000     2.437767
       3.425000     2.531788
       3.475000     2.467093
       3.525000     2.321822
       3.575000     2.068967
       3.625000     2.008963
       3.675000     1.895731
       3.725000     1.718205
       3.775000     1.654940
       3.825000     1.548926
       3.875000     1.438745
       3.925000     1.408309
       3.975000     1.335934
       4.025000     1.311638
       4.075000     1.183193
       4.125000     1.221717
       4.175000     1.185668
       4.225000     1.192575
       4.275000     1.141737
       4.325000     1.127946
       4.375000     1.128684
       4.425000     1.187601
       4.475000     1.146184
       4.525000     1.146595
       4.575000     1.142309
       4.625000     1.198296
       4.675000     1.219216
       4.725000     1.285294
       4.775000     1.285766
       4.825000     1.342651
       4.875000     1.337103
       4.925000     1.301288
       4.975000     1.262124
       5.025000     1.242322
       5.075000     1.206091
       5.125000     1.175281
       5.175000     1.160473
       5.225000     1.148681
       5.275000     1.130149
       5.325000     1.115016
       5.375000     1.133177
       5.425000     1.150811
       5.475000     1.130860
       5.525000     1.158822
       5.575000     1.156869
       5.625000     1.191311
       5.675000     1.193169
       5.725000     1.245278
       5.775000     1.278093
       5.825000     1.338784
       5.875000     1.319187
       5.925000     1.361031
       5.975000     1.377231
       6.025000     1.341765
       6.075000     1.393813
       6.125000     1.424066
       6.175000     1.390151
       6.225000     1.404734
       6.275000     1.398831
       6.325000     1.383112
       6.375000     1.353738
       6.425000     1.342744
       6.475000     1.311089
       6.525000     1.336788
       6.575000     1.315186
       6.625000     1.316310
       6.675000     1.289148
       6.725000     1.256420
       6.775000     1.224831
       6.825000     1.178191
       6.875000     1.145097
       6.925000     1.122346
       6.975000     1.094839
       7.025000     1.072622
       7.075000     1.042194
       7.125000     1.024559
       7.175000     1.007783
       7.225000     0.968499
       7.275000     0.962752
       7.325000     0.937984
       7.375000     0.915404
       7.425000     0.894665
       7.475000     0.895592
       7.525000     0.871987
       7.575000     0.853493
       7.625000     0.844424
       7.675000     0.811869
       7.725000     0.777156
       7.775000     0.727046
       7.825000     0.716358
       7.875000     0.716134
       7.925000     0.675054
       7.975000     0.646545
