#Distance_(Ang)    @O_=>_@S1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.000000
       2.525000     0.000000
       2.575000     0.000000
       2.625000     0.000000
       2.675000     0.000000
       2.725000     0.000000
       2.775000     0.000000
       2.825000     0.003041
       2.875000     0.004698
       2.925000     0.046519
       2.975000     0.123388
       3.025000     0.317188
       3.075000     0.623666
       3.125000     0.964699
       3.175000     1.344777
       3.225000     1.707537
       3.275000     2.049043
       3.325000     2.362805
       3.375000     2.588183
       3.425000     2.578956
       3.475000     2.557931
       3.525000     2.474944
       3.575000     2.307081
       3.625000     2.121618
       3.675000     1.959342
       3.725000     1.819297
       3.775000     1.640976
       3.825000     1.488879
       3.875000     1.436806
       3.925000     1.349393
       3.975000     1.230878
       4.025000     1.213370
       4.075000     1.160979
       4.125000     1.141847
       4.175000     1.104081
       4.225000     1.115083
       4.275000     1.128192
       4.325000     1.080462
       4.375000     1.083801
       4.425000     1.089440
       4.475000     1.123159
       4.525000     1.143751
       4.575000     1.145556
       4.625000     1.163126
       4.675000     1.227433
       4.725000     1.255510
       4.775000     1.285979
       4.825000     1.287402
       4.875000     1.287884
       4.925000     1.295084
       4.975000     1.289186
       5.025000     1.267118
       5.075000     1.204583
       5.125000     1.196532
       5.175000     1.210314
       5.225000     1.239353
       5.275000     1.150208
       5.325000     1.190161
       5.375000     1.194162
       5.425000     1.172581
       5.475000     1.167454
       5.525000     1.204138
       5.575000     1.195754
       5.625000     1.204964
       5.675000     1.228133
       5.725000     1.249573
       5.775000     1.308656
       5.825000     1.345794
       5.875000     1.375296
       5.925000     1.363105
       5.975000     1.384301
       6.025000     1.363426
       6.075000     1.373428
       6.125000     1.363517
       6.175000     1.363037
       6.225000     1.347242
       6.275000     1.326350
       6.325000     1.355328
       6.375000     1.346692
       6.425000     1.337336
       6.475000     1.336906
       6.525000     1.290161
       6.575000     1.308113
       6.625000     1.273292
       6.675000     1.202544
       6.725000     1.217998
       6.775000     1.227157
       6.825000     1.191216
       6.875000     1.176725
       6.925000     1.149167
       6.975000     1.114194
       7.025000     1.099177
       7.075000     1.108422
       7.125000     1.063568
       7.175000     1.010046
       7.225000     1.002345
       7.275000     0.998060
       7.325000     0.946216
       7.375000     0.926202
       7.425000     0.925479
       7.475000     0.904800
       7.525000     0.889302
       7.575000     0.866097
       7.625000     0.836910
       7.675000     0.808079
       7.725000     0.785533
       7.775000     0.767272
       7.825000     0.727535
       7.875000     0.687332
       7.925000     0.676213
       7.975000     0.679056
