#Distance_(Ang)    @O_=>_@S1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.000000
       2.525000     0.000000
       2.575000     0.000000
       2.625000     0.000000
       2.675000     0.000000
       2.725000     0.000000
       2.775000     0.000000
       2.825000     0.000000
       2.875000     0.000000
       2.925000     0.000000
       2.975000     0.001645
       3.025000     0.012730
       3.075000     0.044144
       3.125000     0.121271
       3.175000     0.274444
       3.225000     0.469468
       3.275000     0.847583
       3.325000     1.300377
       3.375000     1.767924
       3.425000     2.181334
       3.475000     2.504071
       3.525000     2.621034
       3.575000     2.629503
       3.625000     2.615825
       3.675000     2.502725
       3.725000     2.332799
       3.775000     2.189331
       3.825000     2.069104
       3.875000     1.987608
       3.925000     1.935716
       3.975000     1.804387
       4.025000     1.690929
       4.075000     1.604676
       4.125000     1.455620
       4.175000     1.371120
       4.225000     1.293180
       4.275000     1.259390
       4.325000     1.284411
       4.375000     1.225045
       4.425000     1.225032
       4.475000     1.236347
       4.525000     1.216524
       4.575000     1.238777
       4.625000     1.291555
       4.675000     1.281176
       4.725000     1.292034
       4.775000     1.272355
       4.825000     1.231945
       4.875000     1.229065
       4.925000     1.297686
       4.975000     1.261732
       5.025000     1.188116
       5.075000     1.101123
       5.125000     1.096374
       5.175000     1.104652
       5.225000     1.097123
       5.275000     1.095436
       5.325000     1.059385
       5.375000     1.003143
       5.425000     1.000075
       5.475000     1.013143
       5.525000     0.983122
       5.575000     1.014915
       5.625000     1.021803
       5.675000     1.045775
       5.725000     1.093191
       5.775000     1.124699
       5.825000     1.158973
       5.875000     1.196704
       5.925000     1.271162
       5.975000     1.285869
       6.025000     1.288148
       6.075000     1.349492
       6.125000     1.351744
       6.175000     1.403389
       6.225000     1.411247
       6.275000     1.449001
       6.325000     1.431399
       6.375000     1.472929
       6.425000     1.415996
       6.475000     1.447234
       6.525000     1.429471
       6.575000     1.414325
       6.625000     1.395269
       6.675000     1.363769
       6.725000     1.338414
       6.775000     1.302553
       6.825000     1.314902
       6.875000     1.277670
       6.925000     1.213538
       6.975000     1.182434
       7.025000     1.149435
       7.075000     1.112980
       7.125000     1.089096
       7.175000     1.050588
       7.225000     1.018152
       7.275000     1.006589
       7.325000     0.971907
       7.375000     0.936375
       7.425000     0.904085
       7.475000     0.868490
       7.525000     0.846530
       7.575000     0.834207
       7.625000     0.809945
       7.675000     0.756168
       7.725000     0.735431
       7.775000     0.704885
       7.825000     0.687662
       7.875000     0.665965
       7.925000     0.657125
       7.975000     0.632808
