#Distance_(Ang)    @O_=>_@S1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.000000
       2.525000     0.000000
       2.575000     0.000000
       2.625000     0.000000
       2.675000     0.000000
       2.725000     0.000000
       2.775000     0.000000
       2.825000     0.000000
       2.875000     0.000587
       2.925000     0.001702
       2.975000     0.010419
       3.025000     0.046146
       3.075000     0.166311
       3.125000     0.373753
       3.175000     0.697666
       3.225000     1.077069
       3.275000     1.556694
       3.325000     1.968565
       3.375000     2.344875
       3.425000     2.582680
       3.475000     2.590086
       3.525000     2.528068
       3.575000     2.457848
       3.625000     2.418216
       3.675000     2.351066
       3.725000     2.170143
       3.775000     1.978844
       3.825000     1.836218
       3.875000     1.694105
       3.925000     1.571194
       3.975000     1.518093
       4.025000     1.438668
       4.075000     1.358275
       4.125000     1.287039
       4.175000     1.208223
       4.225000     1.160219
       4.275000     1.134566
       4.325000     1.123794
       4.375000     1.111948
       4.425000     1.143974
       4.475000     1.136489
       4.525000     1.093260
       4.575000     1.098249
       4.625000     1.148150
       4.675000     1.144375
       4.725000     1.182679
       4.775000     1.271291
       4.825000     1.272599
       4.875000     1.276855
       4.925000     1.267670
       4.975000     1.268399
       5.025000     1.212720
       5.075000     1.202322
       5.125000     1.155323
       5.175000     1.136912
       5.225000     1.116502
       5.275000     1.113752
       5.325000     1.103890
       5.375000     1.051863
       5.425000     1.111890
       5.475000     1.101228
       5.525000     1.118276
       5.575000     1.169674
       5.625000     1.179192
       5.675000     1.202965
       5.725000     1.187820
       5.775000     1.245930
       5.825000     1.310461
       5.875000     1.324812
       5.925000     1.350385
       5.975000     1.364587
       6.025000     1.403004
       6.075000     1.401573
       6.125000     1.394438
       6.175000     1.388623
       6.225000     1.406988
       6.275000     1.404255
       6.325000     1.388329
       6.375000     1.363770
       6.425000     1.351093
       6.475000     1.364690
       6.525000     1.376802
       6.575000     1.348195
       6.625000     1.312772
       6.675000     1.268232
       6.725000     1.260713
       6.775000     1.222399
       6.825000     1.182985
       6.875000     1.193772
       6.925000     1.132568
       6.975000     1.131055
       7.025000     1.107832
       7.075000     1.079720
       7.125000     1.067297
       7.175000     1.042197
       7.225000     1.044000
       7.275000     1.006222
       7.325000     0.974078
       7.375000     0.935750
       7.425000     0.921165
       7.475000     0.892118
       7.525000     0.858444
       7.575000     0.834630
       7.625000     0.801096
       7.675000     0.770587
       7.725000     0.748363
       7.775000     0.734995
       7.825000     0.712553
       7.875000     0.685454
       7.925000     0.662225
       7.975000     0.645095
