#Distance_(Ang)    @O_=>_@S1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.000000
       2.525000     0.000000
       2.575000     0.000000
       2.625000     0.000000
       2.675000     0.000000
       2.725000     0.000000
       2.775000     0.000000
       2.825000     0.000000
       2.875000     0.000000
       2.925000     0.000000
       2.975000     0.001645
       3.025000     0.013260
       3.075000     0.052870
       3.125000     0.144630
       3.175000     0.359185
       3.225000     0.612734
       3.275000     1.033572
       3.325000     1.406181
       3.375000     1.951577
       3.425000     2.298014
       3.475000     2.468299
       3.525000     2.545255
       3.575000     2.547853
       3.625000     2.494305
       3.675000     2.410723
       3.725000     2.183086
       3.775000     2.171279
       3.825000     2.041238
       3.875000     1.902596
       3.925000     1.773777
       3.975000     1.633901
       4.025000     1.604645
       4.075000     1.586554
       4.125000     1.489850
       4.175000     1.377525
       4.225000     1.322274
       4.275000     1.296571
       4.325000     1.227326
       4.375000     1.240006
       4.425000     1.203466
       4.475000     1.204112
       4.525000     1.178123
       4.575000     1.151353
       4.625000     1.166075
       4.675000     1.235872
       4.725000     1.184636
       4.775000     1.189972
       4.825000     1.228400
       4.875000     1.241727
       4.925000     1.217843
       4.975000     1.181525
       5.025000     1.184079
       5.075000     1.172547
       5.125000     1.165117
       5.175000     1.106827
       5.225000     1.053743
       5.275000     1.052700
       5.325000     1.045862
       5.375000     1.037919
       5.425000     1.014587
       5.475000     1.065605
       5.525000     1.051494
       5.575000     1.096121
       5.625000     1.108014
       5.675000     1.145394
       5.725000     1.196853
       5.775000     1.205325
       5.825000     1.248235
       5.875000     1.253235
       5.925000     1.314852
       5.975000     1.347593
       6.025000     1.369844
       6.075000     1.369088
       6.125000     1.370115
       6.175000     1.440176
       6.225000     1.417009
       6.275000     1.422991
       6.325000     1.414292
       6.375000     1.416439
       6.425000     1.396125
       6.475000     1.367122
       6.525000     1.320599
       6.575000     1.346623
       6.625000     1.349708
       6.675000     1.339476
       6.725000     1.299456
       6.775000     1.282462
       6.825000     1.254258
       6.875000     1.223860
       6.925000     1.201393
       6.975000     1.156894
       7.025000     1.113143
       7.075000     1.091259
       7.125000     1.071886
       7.175000     1.036540
       7.225000     1.022708
       7.275000     1.005672
       7.325000     0.949111
       7.375000     0.909871
       7.425000     0.886829
       7.475000     0.852420
       7.525000     0.812929
       7.575000     0.811115
       7.625000     0.781812
       7.675000     0.761936
       7.725000     0.747550
       7.775000     0.724155
       7.825000     0.718419
       7.875000     0.674966
       7.925000     0.656275
       7.975000     0.645553
