#Distance_(Ang)    @O_=>_@S1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.000000
       2.525000     0.000000
       2.575000     0.000000
       2.625000     0.000000
       2.675000     0.000678
       2.725000     0.000654
       2.775000     0.005042
       2.825000     0.027368
       2.875000     0.070464
       2.925000     0.154306
       2.975000     0.360294
       3.025000     0.606263
       3.075000     0.934216
       3.125000     1.236068
       3.175000     1.642814
       3.225000     1.950204
       3.275000     2.214216
       3.325000     2.422073
       3.375000     2.561338
       3.425000     2.519375
       3.475000     2.485582
       3.525000     2.438617
       3.575000     2.288852
       3.625000     2.085790
       3.675000     1.868778
       3.725000     1.692320
       3.775000     1.593974
       3.825000     1.429828
       3.875000     1.399310
       3.925000     1.316627
       3.975000     1.283099
       4.025000     1.246326
       4.075000     1.157471
       4.125000     1.099631
       4.175000     1.102688
       4.225000     1.044387
       4.275000     1.040019
       4.325000     1.089284
       4.375000     1.056160
       4.425000     1.102578
       4.475000     1.070564
       4.525000     1.017405
       4.575000     1.086886
       4.625000     1.136351
       4.675000     1.112174
       4.725000     1.110066
       4.775000     1.167620
       4.825000     1.239659
       4.875000     1.246629
       4.925000     1.271672
       4.975000     1.268007
       5.025000     1.276153
       5.075000     1.296359
       5.125000     1.256774
       5.175000     1.213576
       5.225000     1.200240
       5.275000     1.220505
       5.325000     1.227990
       5.375000     1.193994
       5.425000     1.247125
       5.475000     1.211335
       5.525000     1.255973
       5.575000     1.265403
       5.625000     1.304521
       5.675000     1.301981
       5.725000     1.368488
       5.775000     1.373419
       5.825000     1.364676
       5.875000     1.384999
       5.925000     1.383153
       5.975000     1.427671
       6.025000     1.391237
       6.075000     1.371719
       6.125000     1.355366
       6.175000     1.368766
       6.225000     1.336094
       6.275000     1.308600
       6.325000     1.290419
       6.375000     1.265360
       6.425000     1.273726
       6.475000     1.261193
       6.525000     1.269071
       6.575000     1.247036
       6.625000     1.238236
       6.675000     1.223568
       6.725000     1.148561
       6.775000     1.139813
       6.825000     1.150787
       6.875000     1.133082
       6.925000     1.116374
       6.975000     1.089851
       7.025000     1.074097
       7.075000     1.043358
       7.125000     1.013564
       7.175000     0.985439
       7.225000     0.988583
       7.275000     0.995034
       7.325000     0.989909
       7.375000     0.955025
       7.425000     0.921605
       7.475000     0.902020
       7.525000     0.876702
       7.575000     0.869734
       7.625000     0.838079
       7.675000     0.827607
       7.725000     0.800499
       7.775000     0.769681
       7.825000     0.744340
       7.875000     0.709168
       7.925000     0.698934
       7.975000     0.666769
