#Distance_(Ang)    @O_=>_@S1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.000000
       2.525000     0.000000
       2.575000     0.000000
       2.625000     0.000000
       2.675000     0.000000
       2.725000     0.000000
       2.775000     0.000000
       2.825000     0.007298
       2.875000     0.028773
       2.925000     0.087364
       2.975000     0.210034
       3.025000     0.400993
       3.075000     0.667810
       3.125000     1.044718
       3.175000     1.420851
       3.225000     1.874137
       3.275000     2.178918
       3.325000     2.424707
       3.375000     2.560486
       3.425000     2.609988
       3.475000     2.517335
       3.525000     2.410492
       3.575000     2.261129
       3.625000     2.034079
       3.675000     1.900044
       3.725000     1.695118
       3.775000     1.631440
       3.825000     1.530348
       3.875000     1.443917
       3.925000     1.371448
       3.975000     1.289857
       4.025000     1.268796
       4.075000     1.178516
       4.125000     1.145841
       4.175000     1.096005
       4.225000     1.087076
       4.275000     1.118631
       4.325000     1.090581
       4.375000     1.074672
       4.425000     1.091671
       4.475000     1.090923
       4.525000     1.091364
       4.575000     1.131642
       4.625000     1.171294
       4.675000     1.178576
       4.725000     1.226160
       4.775000     1.207854
       4.825000     1.268638
       4.875000     1.266644
       4.925000     1.271072
       4.975000     1.255064
       5.025000     1.245782
       5.075000     1.228705
       5.125000     1.189510
       5.175000     1.187115
       5.225000     1.168060
       5.275000     1.140614
       5.325000     1.131791
       5.375000     1.143761
       5.425000     1.212656
       5.475000     1.189313
       5.525000     1.229101
       5.575000     1.228080
       5.625000     1.259881
       5.675000     1.279073
       5.725000     1.297850
       5.775000     1.295703
       5.825000     1.328485
       5.875000     1.382468
       5.925000     1.386056
       5.975000     1.399936
       6.025000     1.382145
       6.075000     1.379215
       6.125000     1.382665
       6.175000     1.377803
       6.225000     1.388200
       6.275000     1.376397
       6.325000     1.371586
       6.375000     1.334271
       6.425000     1.287600
       6.475000     1.276937
       6.525000     1.284803
       6.575000     1.276452
       6.625000     1.261791
       6.675000     1.228035
       6.725000     1.216603
       6.775000     1.187821
       6.825000     1.193405
       6.875000     1.159063
       6.925000     1.120220
       6.975000     1.104916
       7.025000     1.092784
       7.075000     1.092520
       7.125000     1.072842
       7.175000     1.048136
       7.225000     1.038608
       7.275000     0.986688
       7.325000     0.989004
       7.375000     0.971624
       7.425000     0.907959
       7.475000     0.889425
       7.525000     0.860930
       7.575000     0.819066
       7.625000     0.795086
       7.675000     0.763996
       7.725000     0.768209
       7.775000     0.726163
       7.825000     0.696223
       7.875000     0.667531
       7.925000     0.656507
       7.975000     0.650743
