#Distance_(Ang)    @O_=>_@S1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.000000
       2.525000     0.000000
       2.575000     0.009783
       2.625000     0.025104
       2.675000     0.024174
       2.725000     0.058238
       2.775000     0.115125
       2.825000     0.105667
       2.875000     0.136032
       2.925000     0.214823
       2.975000     0.427541
       3.025000     0.552941
       3.075000     0.752349
       3.125000     0.774965
       3.175000     0.922349
       3.225000     0.939710
       3.275000     0.909220
       3.325000     1.032680
       3.375000     1.167463
       3.425000     1.183395
       3.475000     1.163911
       3.525000     1.245980
       3.575000     1.148773
       3.625000     1.234133
       3.675000     1.320858
       3.725000     1.402513
       3.775000     1.412644
       3.825000     1.445417
       3.875000     1.451558
       3.925000     1.557978
       3.975000     1.529978
       4.025000     1.441484
       4.075000     1.470133
       4.125000     1.402941
       4.175000     1.296348
       4.225000     1.354275
       4.275000     1.351177
       4.325000     1.374448
       4.375000     1.357898
       4.425000     1.265543
       4.475000     1.246059
       4.525000     1.294709
       4.575000     1.258300
       4.625000     1.324241
       4.675000     1.326737
       4.725000     1.263939
       4.775000     1.366585
       4.825000     1.319833
       4.875000     1.200094
       4.925000     1.244494
       4.975000     1.320073
       5.025000     1.339320
       5.075000     1.381903
       5.125000     1.330374
       5.175000     1.249078
       5.225000     1.237168
       5.275000     1.332721
       5.325000     1.250619
       5.375000     1.308292
       5.425000     1.251225
       5.475000     1.279693
       5.525000     1.248136
       5.575000     1.187584
       5.625000     1.133762
       5.675000     1.153485
       5.725000     1.214573
       5.775000     1.185852
       5.825000     1.174503
       5.875000     1.258592
       5.925000     1.241136
       5.975000     1.224690
       6.025000     1.154411
       6.075000     1.201695
       6.125000     1.229995
       6.175000     1.180101
       6.225000     1.181308
       6.275000     1.170795
       6.325000     1.215056
       6.375000     1.216822
       6.425000     1.227814
       6.475000     1.157350
       6.525000     1.103621
       6.575000     1.117911
       6.625000     1.115388
       6.675000     1.107476
       6.725000     1.161831
       6.775000     1.169243
       6.825000     1.079292
       6.875000     0.979474
       6.925000     1.027605
       6.975000     1.046704
       7.025000     1.039745
       7.075000     1.019485
       7.125000     1.027376
       7.175000     1.032428
       7.225000     1.043042
       7.275000     1.047956
       7.325000     1.100194
       7.375000     1.115143
       7.425000     1.142535
       7.475000     1.174127
       7.525000     1.138719
       7.575000     1.065326
       7.625000     1.072971
       7.675000     1.011683
       7.725000     1.044647
       7.775000     1.005142
       7.825000     1.004698
       7.875000     0.943515
       7.925000     0.918219
       7.975000     0.876143
